season,round,race_name,driver,team,grid_position,finish_position,points,status,laps,avg_finish_last5,weighted_finish_form,finish_std_last5,is_dnf,dnf_rate_last5,position_gain,avg_position_gain,team_avg_points_last3,teammate_delta,driver_vs_field,circuit_avg_finish,circuit_avg_gain,driver_points_before_race,team_points_before_race,driver_rank_before_race,prev_team,team_changed
2024,9,Canadian Grand Prix,HUL,Haas F1 Team,17.0,11.0,0.0,Finished,70.0,12.8,14.370259583443206,4.604345773288534,0,0.2,6.0,-1.0,0.0,-1.7,2.0599999999999996,15.0,-10.0,10.0,50.0,19.0,Haas F1 Team,0
2024,10,Spanish Grand Prix,HUL,Haas F1 Team,13.0,11.0,0.0,Finished,66.0,12.8,13.246837986369423,4.604345773288534,0,0.2,2.0,0.0,0.0,-1.6,1.9699999999999995,15.0,-8.0,10.0,50.0,19.0,Haas F1 Team,0
2024,11,Austrian Grand Prix,HUL,Haas F1 Team,9.0,6.0,8.0,Finished,71.0,13.0,12.497891219391255,4.472135954999578,0,0.2,3.0,0.6,0.0,-1.6,2.2299999999999995,21.0,-13.0,10.0,50.0,19.0,Haas F1 Team,0
2024,12,British Grand Prix,HUL,Haas F1 Team,6.0,6.0,8.0,Finished,52.0,12.0,10.331925992092668,5.47722557505166,0,0.2,0.0,1.6,2.6666666666666665,-1.0,1.2399999999999998,13.0,-2.0,18.0,58.0,18.0,Haas F1 Team,0
2024,13,Hungarian Grand Prix,HUL,Haas F1 Team,11.0,13.0,0.0,Lapped,69.0,11.0,8.88795000028371,6.123724356957944,0,0.2,-2.0,1.8,5.333333333333333,-1.5,0.21999999999999992,14.0,-4.0,26.0,66.0,18.0,Haas F1 Team,0
2024,14,Belgian Grand Prix,HUL,Haas F1 Team,16.0,18.0,0.0,Finished,44.0,9.4,10.258633751892612,3.2093613071762404,0,0.0,-2.0,1.8,5.333333333333333,-1.7,-1.2900000000000003,18.0,2.0,26.0,66.0,18.0,Haas F1 Team,0
2024,15,Dutch Grand Prix,HUL,Haas F1 Team,12.0,11.0,0.0,Lapped,71.0,10.8,12.83908969301219,5.069516742254629,0,0.0,1.0,0.2,2.6666666666666665,-1.2,0.23999999999999985,12.0,2.0,26.0,66.0,18.0,Haas F1 Team,0
2024,16,Italian Grand Prix,HUL,Haas F1 Team,10.0,17.0,0.0,Lapped,52.0,10.8,12.226059712179904,5.069516742254629,0,0.0,-7.0,0.0,0.0,-1.3,0.23999999999999985,17.0,-4.0,26.0,66.0,18.0,Haas F1 Team,0
2024,17,Azerbaijan Grand Prix,HUL,Haas F1 Team,12.0,11.0,0.0,Finished,51.0,13.0,13.817373285368049,4.847679857416328,0,0.0,1.0,-2.0,0.0,-0.4,2.4299999999999997,17.0,3.0,26.0,66.0,17.0,Haas F1 Team,0
2024,18,Singapore Grand Prix,HUL,Haas F1 Team,6.0,9.0,2.0,Lapped,61.0,14.0,12.87824880029051,3.3166247903553976,0,0.0,-3.0,-1.8,0.0,0.3,3.4499999999999993,13.0,-4.0,26.0,66.0,18.0,Haas F1 Team,0
2024,19,United States Grand Prix,HUL,Haas F1 Team,11.0,8.0,4.0,Finished,56.0,13.2,11.58549914823219,4.0249223594996195,0,0.0,3.0,-2.0,0.6666666666666666,-0.5,2.6499999999999995,11.0,7.0,28.0,68.0,17.0,Haas F1 Team,0
